City,State,Rent,TJ,ViolentCrime,PropertyCrime,Ortho Uni,Region,Population,VP_Ratio,COL,COL.Rent,Uni,Comfort,Air,Water,Superfund
Grand Forks,North Dakota,895,0,17.9,41.6,0,MidWest,56948,2.324022346,88.2,10.14739229,1,6.2,76,60,94
Mansfield,Ohio,600,0,20.5,82.4,0,MidWest,46560,4.019512195,70.8,8.474576271,0,6.8,63,32,94
Norman,Oklahoma,693.75,0,14.7,40.9,1,South,123471,2.782312925,89.4,7.760067114,1,7.4,50,47,99
Eugene,Oregon,1035,1,23.9,57.8,1,West,171245,2.418410042,105.3,9.829059829,1,7.4,40,60,93
Coos Bay,Oregon,735,0,23.6,87,0,West,16415,3.686440678,84.3,8.71886121,0,7.3,81,60,93
Providence,Rhode Island,1518.78,0,30.4,53.1,0,NorthEast,178042,1.746710526,105.1,14.45080875,0,7,58,53,79
Newport,Rhode Island,2100,0,18.7,49.5,0,NorthEast,24672,2.647058824,134.3,15.6366344,0,7.1,78,40,71
Sioux Falls,South Dakota,803,0,25.5,44.4,0,MidWest,190750,1.741176471,88.6,9.063205418,0,6.8,74,20,91
Laredo,Texas,633,0,26.2,48.7,0,South,261639,1.858778626,84,7.535714286,0,6.4,70,90,99
Lubbock,Texas,693.75,0,46.4,66.9,0,South,255885,1.441810345,79.9,8.682728411,1,8,73,60,96
Amarillo,Texas,875,0,36,63.2,0,South,199924,1.755555556,80.1,10.92384519,0,7.9,74,80,97
Brownsville,Texas,783,0,20.2,52.4,0,South,183392,2.594059406,70.3,11.13798009,0,6.6,77,61,97
Killeen,Texas,666.67,0,30.8,44.4,0,South,149103,1.441558442,78.5,8.492611465,0,7.3,62,84,96
McAllen,Texas,608.33,0,13.1,48.2,0,South,143433,3.679389313,78.6,7.73956743,0,6.2,74,60,97
Denton,Texas,991.5,0,13.6,34.8,0,South,138541,2.558823529,97.1,10.21112255,1,7.1,45,72,99
Waco,Texas,1087.5,0,29.3,54.1,0,South,138183,1.846416382,77,14.12337662,0,7.1,51,75,96
Round Rock,Texas,890,0,10,32,0,South,128739,3.2,105.5,8.436018957,0,7.2,62,79,100
El Paso,Texas,694.38,0,22.1,30.6,1,South,682669,1.384615385,81.4,8.53046683,1,8,66,60,99
Burlington,Vermont,1350,1,15.6,44.8,0,NorthEast,42417,2.871794872,111.5,12.10762332,1,6.3,64,70,82
Spokane,Washington,900,1,28.6,95.3,0,West,219190,3.332167832,92.3,9.750812568,0,6.7,44,38,73
Yakima,Washington,812.5,0,28.8,69.7,0,West,93884,2.420138889,93,8.73655914,0,7.4,40,53,80
Bellingham,Washington,1156.22,1,18.8,71.5,0,West,90665,3.803191489,121.7,9.500575185,0,7.1,52,60,79
Cedar Rapids,Iowa,800,0,19.9,53.6,0,MidWest,133174,2.693467337,81.6,9.803921569,0,6.9,67,68,92
Davenport,Iowa,898.33,0,35.8,63.3,0,MidWest,102085,1.768156425,81.7,10.99547124,0,6.9,66,53,94
Chico,California,962.5,1,19.4,51.5,0,West,94776,2.654639175,117.4,8.19846678,0,8.1,39,68,81
Clarksville,Tennessee,725,0,35.2,41.2,0,South,156794,1.170454545,85.6,8.469626168,0,7.3,62,100,99
Duluth,Minnesota,947.75,0,23.9,62.3,0,MidWest,85884,2.606694561,85.8,11.0460373,0,6,67,66,81
Corpus Cristi,Texas,945.85,0,35,56,0,South,326554,1.6,83.1,11.3820698,1,6.6,81,77,93
